,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
0,2018,2018-02-14 06:35,주,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950497.0,1954702.0,126.9392741,37.59038756
1,2018,2018-09-02 05:23,야,일,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,953337.0,1950150.0,126.9717317,37.54950802
2,2018,2018-12-15 22:35,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,956967.0,1954807.0,127.0125517,37.59165934
3,2018,2018-08-23 11:30,주,목,1,1,0,0,0,서울,강북구,차량단독,기타,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승합차,승합차,없음,없음,958020.0,1959193.0,127.0242273,37.63123983
4,2018,2018-07-16 00:50,야,월,1,1,0,0,0,서울,강북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,957606.0,1958258.0,127.0195897,37.62279351
5,2018,2018-12-30 04:19,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957823.0,1957100.0,127.0221154,37.61236625
6,2018,2018-01-29 07:17,주,월,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,화물차,보행자,보행자,963182.0,1948990.0,127.0832413,37.53949856
7,2018,2018-05-11 04:47,야,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,951656.0,1949822.0,126.9527236,37.54646503
8,2018,2018-04-24 23:50,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,947686.0,1946843.0,126.9079958,37.51939806
9,2018,2018-02-04 07:07,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,946758.0,1944726.0,126.8976481,37.50026411
10,2018,2018-11-29 04:18,야,목,1,1,0,0,0,서울,성동구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,959955.0,1950388.0,127.0466383,37.55196461
11,2018,2018-06-17 11:05,주,일,1,1,0,0,0,서울,성동구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,자전거,자전거,958712.0,1949157.0,127.0326356,37.54081437
12,2018,2018-01-04 14:20,주,목,1,1,0,0,0,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,화물차,화물차,보행자,보행자,949202.0,1944843.0,126.9252888,37.50145641
13,2018,2018-02-06 12:00,주,화,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,950276.0,1945198.0,126.9374151,37.50471459
14,2018,2018-08-04 21:30,야,토,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,자전거,자전거,보행자,보행자,963551.0,1954643.0,127.087137,37.59046559
15,2018,2018-08-09 10:55,주,목,1,1,0,0,0,서울,관악구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,948543.0,1941973.0,126.9180342,37.47555196
16,2018,2018-03-17 08:00,주,토,1,4,3,0,0,서울,강남구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,특수차,특수차,960119.0,1947879.0,127.0486312,37.52935729
17,2018,2018-07-19 03:20,야,목,1,1,0,0,0,서울,강남구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,958982.0,1947813.0,127.0357669,37.52871253
18,2018,2018-09-18 19:30,야,화,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,944291.0,1950110.0,126.8693309,37.54864494
19,2018,2018-01-19 07:18,주,금,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965139.0,1946555.0,127.1055086,37.51762701
20,2018,2018-04-15 02:12,야,일,1,4,0,3,0,서울,송파구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965125.0,1947519.0,127.1053044,37.52631541
21,2018,2018-08-22 03:50,야,수,1,1,0,0,0,서울,송파구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,966367.0,1945328.0,127.1194606,37.5066131
22,2018,2018-12-18 22:10,야,화,1,1,0,0,0,서울,구로구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,945726.0,1944557.0,126.8859857,37.49868078
23,2018,2018-05-03 05:31,야,목,1,4,0,3,0,서울,서초구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,956481.0,1946430.0,127.007544,37.51613248
24,2018,2018-05-17 01:37,야,목,1,1,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233.0,1949387.0,126.8800484,37.54218497
25,2018,2018-06-19 19:20,야,화,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,959755.0,1963419.0,127.043657,37.66940705
26,2018,2018-09-10 12:10,주,월,1,1,0,0,0,서울,은평구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,949895.0,1957444.0,126.9322677,37.6150688
27,2018,2018-01-01 19:17,야,월,1,1,0,0,0,서울,은평구,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,949007.0,1957743.0,126.9221856,37.61771486
28,2018,2018-09-20 23:50,야,목,1,1,0,0,0,서울,강남구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,958436.0,1943919.0,127.0298078,37.49359011
29,2018,2018-01-08 13:08,주,월,1,1,0,0,0,서울,강남구,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,960661.0,1943434.0,127.0550033,37.4893161
30,2018,2018-08-10 00:30,야,금,1,1,0,0,0,부산,동구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1141334.0,1682867.0,129.0512513,35.13109241
31,2018,2018-08-22 19:41,야,수,1,1,0,0,0,부산,동래구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1145262.0,1689956.0,129.0955973,35.19443107
