,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
32,2018,2018-10-06 02:48,야,토,1,1,0,0,0,부산,동래구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1143632.0,1690680.0,129.0778252,35.20119156
33,2018,2018-10-10 06:20,주,수,1,2,1,0,0,부산,영도구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,없음,없음,1142533.0,1678947.0,129.0637316,35.09558877
34,2018,2018-04-17 02:15,야,화,1,2,0,1,0,부산,해운대구,차량단독,공작물충돌,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,없음,없음,1152158.0,1688630.0,129.171072,35.18145782
35,2018,2018-02-20 06:50,주,화,1,1,0,0,0,부산,부산진구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,1138507.0,1684783.0,129.0205538,35.14875647
36,2018,2018-02-08 23:33,야,목,1,1,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1143194.5,1685568.1,129.0721332,35.15517659
37,2018,2018-03-12 20:45,야,월,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1139745.0,1686592.0,129.0344467,35.16489144
38,2018,2018-05-02 17:35,주,수,1,1,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,승용차,보행자,보행자,1140107.0,1686890.0,129.0384709,35.16752718
39,2018,2018-10-06 02:11,야,토,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1142517.0,1686693.0,129.0648916,35.16541253
40,2018,2018-10-19 07:30,주,금,1,1,0,0,0,부산,금정구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1144747.8,1696996.3,129.0911898,35.25796393
41,2018,2018-02-15 05:30,야,목,1,2,0,1,0,부산,금정구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,화물차,화물차,1144776.9,1696251.4,129.0913783,35.25124552
42,2018,2018-12-20 18:25,야,목,1,1,0,0,0,부산,사하구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1133106.0,1678429.0,128.9602555,35.09220898
43,2018,2018-09-22 10:52,주,토,1,1,0,0,0,부산,강서구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,이륜차,이륜차,1126999.0,1689696.0,128.8950082,35.1945642
44,2018,2018-09-18 14:17,주,화,1,1,0,0,0,부산,강서구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1128065.0,1679615.0,128.9051511,35.10355361
45,2018,2018-08-31 00:45,야,금,1,1,0,0,0,부산,강서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1133468.0,1690086.0,128.9661093,35.19724042
46,2018,2018-07-08 04:14,야,일,1,1,0,0,0,부산,사상구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1135786.5,1686369.0,128.9909576,35.16342399
47,2018,2018-07-21 02:45,야,토,1,2,0,0,1,부산,사상구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1133461.0,1682866.0,128.9648647,35.13215856
48,2018,2018-09-14 00:49,야,금,1,1,0,0,0,부산,기장군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1152520.0,1705558.0,129.1781892,35.33397812
49,2018,2018-02-11 23:29,야,일,1,1,0,0,0,경남,김해시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1127356.0,1693100.0,128.8994551,35.22520409
50,2018,2018-03-19 20:55,야,월,1,2,0,1,0,경남,김해시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,승용차,승용차,승용차,1122909.0,1708908.0,128.8529714,35.36826003
51,2018,2018-01-01 03:15,야,월,2,5,2,1,0,경남,양산시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1140544.0,1708565.0,129.0469778,35.36283936
52,2018,2018-10-31 06:20,주,수,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,957146.0,1919735.0,127.0166165,37.27554815
53,2018,2018-08-31 13:15,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,화물차,화물차,보행자,보행자,957016.0,1921057.0,127.0150737,37.28745823
54,2018,2018-06-30 01:55,야,토,1,1,0,0,0,경기,수원시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956769.0,1921508.0,127.0122611,37.29151195
55,2018,2018-06-22 11:16,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,955255.0,1923087.0,126.9950853,37.30567284
56,2018,2018-12-27 13:50,주,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,968885.0,1939179.0,127.1482099,37.45127726
57,2018,2018-03-28 20:11,야,수,1,1,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,960830.0,1901098.0,127.0591478,37.10771905
58,2018,2018-12-04 00:45,야,화,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950004.0,1887692.0,126.9381989,36.98636278
59,2018,2018-08-26 20:55,야,일,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,960603.0,1891813.0,127.0570799,37.02401398
60,2018,2018-06-21 20:48,야,목,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,951629.0,1889001.0,126.9563742,36.99824716
61,2018,2018-12-30 15:31,주,일,1,2,0,1,0,경기,평택시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승합차,승합차,966067.0,1888699.0,127.1186478,36.99615709
62,2018,2018-06-26 06:10,주,화,4,5,1,0,0,경기,안성시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,승용차,승용차,972444.0,1889857.0,127.1902716,37.00680425
63,2018,2018-10-06 16:05,주,토,1,1,0,0,0,경기,안성시,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,화물차,화물차,보행자,보행자,976602.0,1890532.0,127.2369859,37.01300168
64,2018,2018-01-28 23:20,야,일,1,1,0,0,0,경기,안성시,차량단독,전복,전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,976680.0,1891027.0,127.2378473,37.0174657
65,2018,2018-08-25 14:40,주,토,1,1,0,0,0,경기,광주시,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,기타,기타,이륜차,이륜차,승용차,승용차,975669.0,1939694.0,127.2248927,37.45612269
66,2018,2018-01-09 18:40,야,화,1,1,0,0,0,경기,여주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1012512.0,1918276.0,127.6411101,37.26329951
67,2018,2018-12-24 09:30,주,월,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,974222.0,1914977.0,127.2093917,37.23328969
68,2018,2018-04-14 11:12,주,토,1,1,0,0,0,경기,용인시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,977823.0,1926535.0,127.2496423,37.3375651
69,2018,2018-08-31 16:34,주,금,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,983159.0,1907336.0,127.3103148,37.1646175
70,2018,2018-06-23 23:30,야,토,2,2,0,0,0,경기,용인시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,승용차,승용차,978427.0,1914100.0,127.2568218,37.22549125
71,2018,2018-05-18 21:13,야,금,1,5,0,4,0,경기,용인시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,화물차,화물차,승용차,승용차,988499.0,1907831.0,127.370453,37.16916051
72,2018,2018-03-03 03:23,야,토,1,2,0,1,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,974185.0,1915297.0,127.2089635,37.23617313
73,2018,2018-09-30 04:40,야,일,1,1,0,0,0,경기,김포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,923070.0,1961098.0,126.6279596,37.64614657
74,2018,2018-07-17 10:30,주,화,1,1,0,0,0,경기,부천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,938764.0,1942322.0,126.8074139,37.47810105
75,2018,2018-12-11 01:15,야,화,1,1,0,0,0,경기,오산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,961264.0,1908079.0,127.063671,37.17066353
76,2018,2018-05-22 15:15,주,화,1,1,0,0,0,경기,부천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,933539.0,1945295.0,126.7480545,37.50453525
77,2018,2018-02-05 15:30,주,월,1,1,0,0,0,경기,광명시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,화물차,화물차,자전거,자전거,944558.0,1940561.0,126.8730735,37.46259479
78,2018,2018-03-31 16:22,주,토,1,1,0,0,0,경기,광명시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,자전거,승용차,승용차,942484.0,1935207.0,126.85004,37.41421149
79,2018,2018-08-09 13:08,주,목,1,1,0,0,0,경기,군포시,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,보행자,보행자,950712.0,1927458.0,126.9435325,37.34484107
80,2018,2018-09-17 19:36,야,월,1,1,0,0,0,경기,군포시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로부근,이륜차,이륜차,승용차,승용차,951942.0,1927988.0,126.9573844,37.34968273
81,2018,2018-02-02 21:00,야,금,1,1,0,0,0,경기,군포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,948141.0,1924333.0,126.9147255,37.31653393
82,2018,2018-06-20 13:09,주,수,1,1,0,0,0,경기,성남시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,이륜차,이륜차,승용차,승용차,965283.0,1930995.0,127.1078708,37.37738183
83,2018,2018-06-20 06:20,주,수,1,1,0,0,0,경기,시흥시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,자전거,자전거,934017.0,1927851.0,126.7550217,37.34734652
84,2018,2018-06-16 02:43,야,토,1,1,0,0,0,경기,안산시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,942112.0,1924324.0,126.8466875,37.31609673
85,2018,2018-05-13 21:06,야,일,1,1,0,0,0,경기,안산시,차대사람,차도통행중,차도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,941746.0,1920547.0,126.8428534,37.28203032
86,2018,2018-04-10 15:35,주,화,1,1,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,자전거,화물차,화물차,955437.0,1917833.0,126.997454,37.25832386
87,2018,2018-04-22 09:30,주,일,1,10,3,2,4,경기,용인시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,964861.9,1920863.9,127.1035947,37.2860472
88,2018,2018-07-20 16:00,주,금,1,4,1,2,0,서울,송파구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,968321.0,1944464.0,127.1416059,37.4988946
89,2018,2018-05-12 04:25,야,토,1,2,1,0,0,경기,안성시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,승용차,승용차,승합차,승합차,969832.0,1887054.0,127.1610254,36.98145698
90,2018,2018-07-23 10:55,주,월,1,4,1,2,0,경기,평택시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,특수차,승용차,승용차,944016.0,1886366.0,126.8710141,36.97407285
91,2018,2018-05-29 16:55,주,화,1,1,0,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,승합차,승합차,보행자,보행자,948148.0,1903183.0,126.9162755,37.12589621
92,2018,2018-05-25 14:30,주,금,1,1,0,0,0,경기,화성시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,946067.0,1906123.0,126.892638,37.15227886
93,2018,2018-04-29 22:05,야,일,1,2,1,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,보행자,보행자,953327.0,1913654.0,126.9739218,37.22055229
94,2018,2018-10-02 05:08,야,화,1,2,0,1,0,경기,화성시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,938437.0,1920972.0,126.8054928,37.28564788
95,2018,2018-09-22 10:20,주,토,1,1,0,0,0,경기,부천시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,자전거,자전거,940066.0,1948625.0,126.8216248,37.53499553
96,2018,2018-07-02 23:23,야,월,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,938420.0,1948363.0,126.8030175,37.53252565
97,2018,2018-08-11 16:55,주,토,1,2,0,1,0,강원,춘천시,차량단독,전도,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1004865.8,1974269.0,127.5552473,37.76807153
98,2018,2018-01-18 17:55,주,목,1,1,0,0,0,강원,강릉시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1124529.0,1972684.0,128.9134583,37.7453224
99,2018,2018-08-08 08:37,주,수,1,1,0,0,0,강원,강릉시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1118002.0,1970607.0,128.839056,37.72747196
100,2018,2018-10-23 17:10,주,화,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,주차장,주차장,화물차,화물차,보행자,보행자,1039099.0,1927001.0,127.9414118,37.341207
101,2018,2018-01-02 12:35,주,화,1,1,0,0,0,강원,속초시,차대차,측면충돌,측면충돌,운전자법규위반,차로위반(진로변경 위반),기타,기타,승용차,승용차,이륜차,이륜차,1095344.0,2023327.0,128.5889813,38.20518929
102,2018,2018-09-19 06:30,주,수,1,2,0,1,0,강원,양양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,기타,기타,농기계,농기계,없음,없음,1100393.0,2004839.0,128.6440359,38.03804659
103,2018,2018-05-25 22:35,야,금,1,1,0,0,0,강원,속초시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1094149.0,2022513.0,128.5752268,38.19798014
104,2018,2018-08-18 09:55,주,토,1,1,0,0,0,강원,양양군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1098824.0,2001256.0,128.6256653,38.00593236
105,2018,2018-11-05 10:05,주,월,1,2,0,1,0,강원,홍천군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1041743.4,1963858.3,127.9733582,37.67329954
106,2018,2018-03-31 11:20,주,토,2,2,0,0,0,강원,홍천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1057800.0,1969754.0,128.155894,37.72556488
107,2018,2018-07-15 18:45,야,일,1,1,0,0,0,강원,평창군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),없음,없음,1084312.2,1947802.3,128.4541803,37.5256738
108,2018,2018-10-14 15:50,주,일,1,1,0,0,0,강원,횡성군,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),없음,없음,1052932.0,1944875.0,128.0988556,37.5016249
109,2018,2018-10-06 18:20,야,토,2,4,2,0,0,강원,횡성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,화물차,화물차,1041697.0,1944564.0,127.9717333,37.49939774
110,2018,2018-04-06 10:10,주,금,1,1,0,0,0,강원,횡성군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1046441.0,1948514.0,128.0256516,37.53477361
111,2018,2018-07-08 08:30,주,일,1,1,0,0,0,강원,인제군,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1049426.0,1993163.0,128.0624728,37.93703413
112,2018,2018-08-04 23:00,야,토,1,1,0,0,0,강원,인제군,차대차,측면충돌,측면충돌,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,자전거,자전거,1073807.0,2022270.0,128.3429126,38.197688
113,2018,2018-04-05 05:43,야,목,1,1,0,0,0,강원,고성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1088115.7,2040019.9,128.5085138,38.35634693
