id,lat,lon,status,install_year
SL_2097,37.292475,127.047536,정상,2013
SL_2098,37.292642,127.047725,정상,2013
SL_2099,37.292855,127.047934,정상,2013
SL_2100,37.29277,127.048382,정상,2013
SL_2101,37.293069,127.048148,정상,2013
SL_2102,37.293263,127.048329,정상,2013
SL_2103,37.293502,127.048518,정상,2013
SL_2104,37.293752,127.048701,정상,2013
SL_2105,37.290726,127.0446,정상,2013
SL_2106,37.292174,127.046442,정상,2013
SL_2107,37.292338,127.046653,정상,2013
SL_2108,37.292597,127.046967,정상,2013
SL_2109,37.292775,127.047175,정상,2013
SL_2110,37.292939,127.047359,정상,2013
SL_2111,37.293207,127.047621,정상,2013
SL_2112,37.293405,127.047819,고장,2013
SL_2113,37.293592,127.047985,정상,2013
SL_2114,37.293813,127.048163,정상,2013
SL_2115,37.294022,127.048287,정상,2013
SL_2116,37.290886,127.044797,정상,2013
SL_2117,37.294524,127.048555,정상,2013
SL_2118,37.294691,127.04862,정상,2013
SL_2119,37.291034,127.044989,정상,2013
SL_2120,37.291176,127.045173,고장,2013
SL_2121,37.291332,127.045373,정상,2013
SL_2122,37.291516,127.045613,정상,2013
SL_2123,37.291689,127.045835,정상,2013
SL_2124,37.291856,127.046047,정상,2013
SL_2125,37.292009,127.046236,정상,2013
SL_2126,37.289362,127.047168,정상,2013
SL_2127,37.289364,127.046855,정상,2013
SL_2128,37.290007,127.045812,정상,2013
SL_2129,37.290162,127.045995,정상,2013
SL_2130,37.290295,127.046159,정상,2013
SL_2131,37.290484,127.046373,정상,2013
SL_2132,37.29068,127.046613,정상,2013
SL_2133,37.290867,127.046825,정상,2013
SL_2134,37.290804,127.047047,정상,2013
SL_2135,37.290657,127.047256,정상,2013
SL_2136,37.290502,127.047456,정상,2013
SL_2137,37.289632,127.047481,정상,2013
SL_2138,37.289909,127.047808,정상,2013
SL_2139,37.29015,127.048082,정상,2013
SL_2140,37.290441,127.048434,정상,2013
SL_2141,37.2904,127.048093,정상,2013
SL_2142,37.290267,127.047774,정상,2013
SL_2143,37.289957,127.04756,정상,2013
