id,lat,lon,status,install_year,geometry
SL_1401,37.300731,127.045748,정상,2013,POINT (127.045748 37.300731)
SL_1402,37.300768,127.045443,정상,2013,POINT (127.045443 37.300768)
SL_1403,37.299014,127.048355,정상,2013,POINT (127.048355 37.299014)
SL_1404,37.299122,127.048022,정상,2013,POINT (127.048022 37.299122)
SL_1405,37.299323,127.047585,정상,2013,POINT (127.047585 37.299323)
SL_1406,37.299704,127.046853,정상,2013,POINT (127.046853 37.299704)
SL_1407,37.299907,127.046497,정상,2013,POINT (127.046497 37.299907)
SL_1408,37.300281,127.045812,정상,2013,POINT (127.045812 37.300281)
SL_1409,37.300522,127.045378,정상,2013,POINT (127.045378 37.300522)
SL_1410,37.289556,127.079565,정상,2012,POINT (127.079565 37.289556)
SL_1411,37.290974,127.082349,정상,2012,POINT (127.082349 37.290974)
SL_1412,37.291046,127.082544,정상,2012,POINT (127.082544 37.291046)
SL_1413,37.291138,127.082713,정상,2012,POINT (127.082713 37.291138)
SL_1414,37.290918,127.081698,정상,2012,POINT (127.081698 37.290918)
SL_1415,37.291188,127.081986,정상,2012,POINT (127.081986 37.291188)
SL_1416,37.291375,127.082183,정상,2012,POINT (127.082183 37.291375)
SL_1417,37.291559,127.082361,정상,2012,POINT (127.082361 37.291559)
SL_1418,37.289273,127.079314,정상,2012,POINT (127.079314 37.289273)
SL_1419,37.289059,127.079354,정상,2012,POINT (127.079354 37.289059)
SL_1420,37.288797,127.079347,정상,2012,POINT (127.079347 37.288797)
SL_1421,37.2897,127.079726,정상,2012,POINT (127.079726 37.2897)
SL_1422,37.288585,127.079335,정상,2012,POINT (127.079335 37.288585)
SL_1423,37.288395,127.079276,정상,2012,POINT (127.079276 37.288395)
SL_1424,37.288133,127.079126,정상,2012,POINT (127.079126 37.288133)
SL_1425,37.287936,127.078937,정상,2012,POINT (127.078937 37.287936)
SL_1426,37.287497,127.078518,정상,2012,POINT (127.078518 37.287497)
SL_1427,37.287318,127.078423,정상,2012,POINT (127.078423 37.287318)
SL_1428,37.287167,127.078189,정상,2012,POINT (127.078189 37.287167)
SL_1429,37.287005,127.078116,정상,2012,POINT (127.078116 37.287005)
SL_1430,37.286789,127.07829,정상,2012,POINT (127.07829 37.286789)
SL_1431,37.286593,127.078231,정상,2012,POINT (127.078231 37.286593)
SL_1432,37.289926,127.079997,정상,2012,POINT (127.079997 37.289926)
SL_1433,37.286287,127.078259,정상,2012,POINT (127.078259 37.286287)
SL_1434,37.286014,127.078295,정상,2012,POINT (127.078295 37.286014)
SL_1435,37.285726,127.078371,정상,2012,POINT (127.078371 37.285726)
SL_1436,37.285419,127.078343,정상,2012,POINT (127.078343 37.285419)
SL_1437,37.285271,127.078218,정상,2012,POINT (127.078218 37.285271)
SL_1438,37.28514,127.07795,정상,2012,POINT (127.07795 37.28514)
SL_1439,37.28503,127.077601,정상,2012,POINT (127.077601 37.28503)
SL_1440,37.284938,127.077299,정상,2012,POINT (127.077299 37.284938)
SL_1441,37.284814,127.077028,정상,2012,POINT (127.077028 37.284814)
SL_1442,37.285228,127.077635,정상,2012,POINT (127.077635 37.285228)
SL_1443,37.290119,127.080287,정상,2012,POINT (127.080287 37.290119)
SL_1444,37.285385,127.077401,정상,2012,POINT (127.077401 37.285385)
SL_1445,37.290297,127.080569,정상,2012,POINT (127.080569 37.290297)
SL_1446,37.290479,127.080877,정상,2012,POINT (127.080877 37.290479)
SL_1447,37.290632,127.081198,정상,2012,POINT (127.081198 37.290632)
SL_1448,37.290754,127.081486,정상,2012,POINT (127.081486 37.290754)
SL_1449,37.290931,127.082154,정상,2012,POINT (127.082154 37.290931)
SL_1450,37.273601,127.057266,정상,2012,POINT (127.057266 37.273601)
SL_1451,37.273571,127.058887,정상,2012,POINT (127.058887 37.273571)
SL_1452,37.273683,127.058486,정상,2012,POINT (127.058486 37.273683)
SL_1453,37.27374,127.058188,정상,2012,POINT (127.058188 37.27374)
SL_1454,37.27379,127.057796,정상,2012,POINT (127.057796 37.27379)
SL_1455,37.273819,127.057427,정상,2012,POINT (127.057427 37.273819)
SL_1456,37.273878,127.057032,정상,2012,POINT (127.057032 37.273878)
SL_1457,37.273916,127.056578,정상,2012,POINT (127.056578 37.273916)
SL_1458,37.273973,127.056319,정상,2012,POINT (127.056319 37.273973)
SL_1459,37.274045,127.055969,정상,2012,POINT (127.055969 37.274045)
SL_1460,37.274135,127.055645,정상,2012,POINT (127.055645 37.274135)
SL_1461,37.27351,127.057694,정상,2012,POINT (127.057694 37.27351)
SL_1462,37.274156,127.055323,정상,2012,POINT (127.055323 37.274156)
SL_1463,37.274264,127.055011,정상,2012,POINT (127.055011 37.274264)
SL_1464,37.274408,127.05456,정상,2012,POINT (127.05456 37.274408)
SL_1465,37.274521,127.05416,정상,2012,POINT (127.05416 37.274521)
SL_1466,37.274298,127.054084,정상,2012,POINT (127.054084 37.274298)
SL_1467,37.274264,127.054388,정상,2012,POINT (127.054388 37.274264)
SL_1468,37.274179,127.054738,정상,2012,POINT (127.054738 37.274179)
SL_1469,37.274102,127.055045,정상,2012,POINT (127.055045 37.274102)
SL_1470,37.274027,127.055358,정상,2012,POINT (127.055358 37.274027)
SL_1471,37.273962,127.055645,정상,2012,POINT (127.055645 37.273962)
SL_1472,37.273456,127.057951,정상,2012,POINT (127.057951 37.273456)
SL_1473,37.273912,127.055882,정상,2012,POINT (127.055882 37.273912)
SL_1474,37.273851,127.056096,정상,2012,POINT (127.056096 37.273851)
SL_1475,37.273804,127.056305,정상,2012,POINT (127.056305 37.273804)
SL_1476,37.273743,127.056536,정상,2012,POINT (127.056536 37.273743)
SL_1477,37.274365,127.055316,정상,2019,POINT (127.055316 37.274365)
SL_1478,37.27462,127.055417,정상,2019,POINT (127.055417 37.27462)
SL_1479,37.274872,127.055511,정상,2019,POINT (127.055511 37.274872)
SL_1480,37.275041,127.055612,정상,2019,POINT (127.055612 37.275041)
SL_1481,37.275235,127.055688,정상,2019,POINT (127.055688 37.275235)
SL_1482,37.273409,127.05819,정상,2012,POINT (127.05819 37.273409)
SL_1483,37.273303,127.058672,정상,2012,POINT (127.058672 37.273303)
SL_1484,37.273248,127.058937,정상,2012,POINT (127.058937 37.273248)
SL_1485,37.273208,127.059239,정상,2012,POINT (127.059239 37.273208)
SL_1486,37.273435,127.05934,정상,2012,POINT (127.05934 37.273435)
SL_1487,37.273474,127.059211,정상,2012,POINT (127.059211 37.273474)
SL_1488,37.302549,127.04629,정상,2013,POINT (127.04629 37.302549)
SL_1489,37.30168,127.044626,정상,2013,POINT (127.044626 37.30168)
SL_1490,37.301545,127.044454,정상,2013,POINT (127.044454 37.301545)
SL_1491,37.301743,127.044764,정상,2013,POINT (127.044764 37.301743)
SL_1492,37.301441,127.045328,정상,2013,POINT (127.045328 37.301441)
SL_1493,37.301308,127.045227,정상,2013,POINT (127.045227 37.301308)
SL_1494,37.301243,127.045145,정상,2013,POINT (127.045145 37.301243)
