id,lat,lon,status,install_year,geometry,dong_name
SL_4078,37.266131,127.080699,정상,1997,POINT (207158.04136982557 518551.2632647853),영통동
SL_4079,37.266029,127.081409,정상,1997,POINT (207221.0284731287 518539.9969794075),영통동
SL_4080,37.266241,127.081341,정상,1997,POINT (207214.97660434368 518563.5201176333),영통동
SL_4081,37.266239,127.08102,정상,1997,POINT (207186.503971265 518563.2737242848),영통동
SL_4082,37.266532,127.080905,정상,1997,POINT (207176.27562301292 518595.7829190216),영통동
SL_4083,37.24625,127.064227,정상,1997,POINT (205698.46392913416 516343.7018975434),영통동
SL_4084,37.246487,127.068981,정상,1997,POINT (206120.23779270507 516370.3014602023),영통동
SL_4085,37.246615,127.068976,정상,1997,POINT (206119.78382426425 516384.5068701477),영통동
SL_4086,37.246609,127.068297,정상,1997,POINT (206059.5411222552 516383.7972973449),영통동
SL_4087,37.246602,127.067598,정상,1997,POINT (205997.52402208597 516382.9759070722),영통동
SL_4088,37.246605,127.067023,정상,1997,POINT (205946.50782820632 516383.27257965226),영통동
SL_4089,37.246574,127.066507,정상,1997,POINT (205900.7289700169 516379.7998402478),영통동
SL_4090,37.246545,127.066045,정상,1997,POINT (205859.74098718684 516376.55265621626),영통동
SL_4091,37.246493,127.065535,정상,1997,POINT (205814.49601189376 516370.7501303306),영통동
SL_4092,37.246455,127.065098,정상,1997,POINT (205775.72672838205 516366.50605168915),영통동
SL_4093,37.24641,127.06465,정상,1997,POINT (205735.98197673858 516361.4846095107),영통동
SL_4094,37.246293,127.064667,정상,1997,POINT (205737.49914856168 516348.50071246433),영통동
SL_4095,37.24637,127.064199,정상,1997,POINT (205695.9706305502 516357.01808640966),영통동
SL_4096,37.246333,127.065112,정상,1997,POINT (205776.97817130244 516352.96706715005),영통동
SL_4097,37.246376,127.065552,정상,1997,POINT (205816.01330348157 516357.76624714275),영통동
SL_4098,37.246418,127.066059,정상,1997,POINT (205860.9929513316 516362.45877239585),영통동
SL_4099,37.246456,127.066521,정상,1997,POINT (205901.98030059953 516366.70480297174),영통동
SL_4100,37.246481,127.067034,정상,1997,POINT (205947.49353058366 516369.5114668278),영통동
SL_4101,37.246483,127.0676,고장,1997,POINT (205997.71089987745 516369.76914132934),영통동
SL_4102,37.246489,127.068302,정상,1997,POINT (206059.99434823892 516370.47974259756),영통동
SL_4103,37.251903,127.070725,정상,1997,POINT (206274.52255091388 516971.49599809095),영통동
SL_4104,37.253758,127.073094,정상,1997,POINT (206484.53459698072 517177.52804038505),영통동
SL_4105,37.253393,127.073493,정상,1997,POINT (206519.96334308345 517137.04686559073),영통동
SL_4106,37.253102,127.073217,정상,1997,POINT (206495.5028623503 517104.7320051417),영통동
SL_4107,37.25285,127.07298,정상,1997,POINT (206474.49878486092 517076.74819884985),영통동
SL_4108,37.252539,127.072681,정상,1997,POINT (206447.99917978208 517042.2122590866),영통동
SL_4109,37.252211,127.072374,정상,1997,POINT (206420.79106462095 517005.78916156094),영통동
SL_4110,37.252006,127.072176,정상,1997,POINT (206403.24248058372 516983.0243571899),영통동
SL_4111,37.251814,127.07199,정상,1997,POINT (206386.75731173003 516961.70317112614),영통동
SL_4112,37.251576,127.071759,정상,1997,POINT (206366.28364091556 516935.2738008452),영통동
SL_4113,37.251272,127.071767,정상,1997,POINT (206367.0189621156 516901.5356942377),영통동
SL_4114,37.251806,127.070888,정상,1997,POINT (206288.99151557055 516960.74152373767),영통동
SL_4115,37.251903,127.071286,정상,1997,POINT (206324.2928957614 516971.533333899),영통동
SL_4116,37.252092,127.071455,정상,1997,POINT (206339.27026648997 516992.5203115979),영통동
SL_4117,37.252328,127.071751,정상,1997,POINT (206365.5106353398 517018.73202294705),영통동
SL_4118,37.252605,127.072005,정상,1997,POINT (206388.02128921723 517049.491260811),영통동
SL_4119,37.252841,127.072183,정상,1997,POINT (206403.79282869468 517075.695137216),영통동
SL_4120,37.253148,127.072476,정상,1997,POINT (206429.76055478698 517109.78660186566),영통동
SL_4121,37.25353,127.072879,정상,1997,POINT (206465.4803517762 517152.20933897956),영통동
SL_4122,37.254228,127.073553,정상,1997,POINT (206525.21425486053 517229.7213293382),영통동
SL_4123,37.256939,127.07607,정상,1997,POINT (206748.2667484411 517530.7712866821),영통동
SL_4124,37.257281,127.076389,정상,1997,POINT (206776.53501433533 517568.75009280053),영통동
SL_4125,37.257612,127.076707,정상,1997,POINT (206804.71530315487 517605.5081172122),영통동
SL_4126,37.25786,127.076961,정상,1997,POINT (206827.22538847165 517633.0500715787),영통동
SL_4127,37.257566,127.077451,정상,1997,POINT (206870.7200939586 517600.45667519496),영통동
SL_4128,37.257283,127.077189,정상,1997,POINT (206847.50354465505 517569.0296392316),영통동
SL_4129,37.25699,127.076907,정상,1997,POINT (206822.51349880028 517536.49140236794),영통동
SL_4130,37.256623,127.07656,정상,1997,POINT (206791.7636502449 517495.73587135057),영통동
SL_4131,37.256333,127.076281,정상,1997,POINT (206767.03903738156 517463.530966573),영통동
SL_4132,37.255982,127.075953,정상,1997,POINT (206737.97276286932 517424.5527160547),영통동
SL_4133,37.254568,127.073816,정상,1997,POINT (206548.51673107847 517267.4735233623),영통동
SL_4134,37.255635,127.07562,정상,1997,POINT (206708.46229934652 517386.0181443012),영통동
SL_4135,37.255398,127.075383,정상,1997,POINT (206687.45831089918 517359.69852830516),영통동
SL_4136,37.255158,127.075158,정상,1997,POINT (206667.51901552101 517333.0468640122),영통동
SL_4137,37.254867,127.07489,정상,1997,POINT (206643.7693846605 517300.73212406033),영통동
SL_4138,37.254532,127.074568,정상,1997,POINT (206615.23285877015 517263.530449969),영통동
SL_4139,37.254257,127.074303,정상,1997,POINT (206591.74757892528 517232.9917898251),영통동
SL_4140,37.253883,127.073959,정상,1997,POINT (206561.26224779323 517191.4604568508),영통동
SL_4141,37.253739,127.073823,정상,2019,POINT (206549.2094901274 517175.4695678137),영통동
SL_4142,37.253976,127.073319,정상,2019,POINT (206504.47673437314 517201.73764900095),영통동
SL_4143,37.254823,127.074073,정상,1997,POINT (206571.29409825685 517295.79185965913),영통동
SL_4144,37.255149,127.074377,정상,1997,POINT (206598.23465257033 517331.9932890194),영통동
SL_4145,37.255444,127.074665,정상,1997,POINT (206623.75828034672 517364.75323094905),영통동
SL_4146,37.255719,127.074919,정상,1997,POINT (206646.26723408574 517395.2912149157),영통동
SL_4147,37.255991,127.075167,정상,1997,POINT (206668.24401393684 517425.49589070433),영통동
SL_4148,37.256311,127.075483,정상,1997,POINT (206696.24880840353 517461.03259352),영통동
SL_4149,37.256606,127.075762,정상,1997,POINT (206720.9732555164 517493.79220174457),영통동
SL_4150,37.25687,127.066048,정상,1997,POINT (205859.2075724363 517522.4459734896),영통동
SL_4151,37.253734,127.067714,정상,1997,POINT (206007.24971172988 517174.5094378239),영통동
SL_4152,37.253454,127.068193,고장,1997,POINT (206049.76660654825 517143.464868402),영통동
SL_4153,37.253181,127.068632,정상,1997,POINT (206088.73462451427 517113.1948183607),영통동
SL_4154,37.252954,127.069001,정상,1997,POINT (206121.4890808989 517088.02561160206),영통동
SL_4155,37.252762,127.069319,정상,1997,POINT (206149.71636143705 517066.73760278604),영통동
SL_4156,37.252613,127.06957,정상,1997,POINT (206171.99627807122 517050.21756177075),영통동
SL_4157,37.252532,127.069702,정상,1997,POINT (206183.71345740542 517041.23660255724),영통동
SL_4158,37.252374,127.069964,정상,1997,POINT (206206.9701298542 517023.71853189234),영통동
SL_4159,37.252237,127.070184,정상,1997,POINT (206226.4990645896 517008.5283926543),영통동
SL_4160,37.252189,127.070421,정상,1997,POINT (206247.5289096104 517003.21685432835),영통동
SL_4161,37.256582,127.066178,정상,1997,POINT (205870.76239965155 517490.4910752982),영통동
