,district,X_coord,Y_coord
156,강남구,205812.3128,545852.5618
157,강남구,205812.3128,545852.5618
158,강남구,203593.21,543669.9192
159,강남구,204969.4625,544201.7437
160,강남구,204969.4625,544201.7437
161,강남구,203215.1875,544768.2187
162,강남구,203215.1875,544768.2187
163,강남구,203215.1875,544768.2187
164,강남구,202492.2195,547629.5641
165,강남구,202492.2195,547629.5641
166,강남구,202514.8862,547629.6203
167,강남구,202514.8862,547629.6203
168,강남구,203762.4972,543732.4707
169,강남구,202937.7875,544450.4312
170,강남구,202937.7875,544450.4312
171,강남구,202937.7875,544450.4312
172,강남구,202916.9145,544479.9954
173,강남구,202916.9145,544479.9954
174,강남구,202916.9145,544479.9954
175,강남구,202193.8438,544987.0625
176,강남구,202193.8438,544987.0625
177,강남구,202193.8438,544987.0625
178,강남구,202193.8438,544987.0625
179,강남구,202193.8438,544987.0625
180,강남구,202193.8438,544987.0625
181,강남구,202193.8438,544987.0625
182,강남구,202193.8438,544987.0625
183,강남구,202193.8438,544987.0625
184,강남구,202193.8438,544987.0625
185,강남구,202193.8438,544987.0625
186,강남구,202193.8438,544987.0625
187,강남구,202193.8438,544987.0625
188,강남구,202193.8438,544987.0625
189,강남구,202193.8438,544987.0625
190,강남구,202193.8438,544987.0625
191,강남구,202193.8438,544987.0625
192,강남구,202193.8438,544987.0625
193,강남구,202193.8438,544987.0625
194,강남구,202193.8438,544987.0625
195,강남구,202193.8438,544987.0625
196,강남구,202193.8438,544987.0625
197,강남구,202193.8438,544987.0625
198,강남구,202193.8438,544987.0625
199,강남구,203242.6041,544621.5354
200,강남구,203199.5875,545381.3437
201,강남구,203199.5875,545381.3437
202,강남구,203199.5875,545381.3437
203,강남구,203199.5875,545381.3437
204,강남구,203936.108,544322.4383
205,강남구,205894.744,546196.3226
206,강남구,206125.1011,543346.1638
207,강남구,206125.1011,543346.1638
208,강남구,203939.5585,542675.5134
209,강남구,203939.5585,542675.5134
210,강남구,203193.7965,545403.7961
211,강남구,203193.7965,545403.7961
212,강남구,203193.7965,545403.7961
213,강남구,207070.7125,542605.3437
214,강남구,207070.7125,542605.3437
215,강남구,207070.7125,542605.3437
216,강남구,207070.7125,542605.3437
217,강남구,207070.7125,542605.3437
218,강남구,207070.7125,542605.3437
219,강남구,207070.7125,542605.3437
220,강남구,207070.7125,542605.3437
221,강남구,205487.199,543111.7147
222,강남구,205487.199,543111.7147
223,강남구,205487.199,543111.7147
224,강남구,205487.199,543111.7147
225,강남구,205487.199,543111.7147
226,강남구,205487.199,543111.7147
227,강남구,204993.8321,544779.5239
228,강남구,204993.8321,544779.5239
229,강남구,205006.3965,544767.2786
230,강남구,205006.3965,544767.2786
231,강남구,204897.7015,544739.1043
232,강남구,204897.7015,544739.1043
233,강남구,204897.7015,544739.1043
234,강남구,204896.0119,544721.7941
235,강남구,204896.0119,544721.7941
236,강남구,204898.023,542546.5881
237,강남구,204898.023,542546.5881
238,강남구,205043.082,542689.1273
239,강남구,205043.082,542689.1273
240,강남구,205043.082,542689.1273
241,강남구,205061.3625,542686.5562
242,강남구,205061.3625,542686.5562
243,강남구,205061.3625,542686.5562
244,강남구,205061.3625,542686.5562
245,강남구,205061.3625,542686.5562
246,강남구,205061.3625,542686.5562
247,강남구,206118.5625,543360.6437
248,강남구,206118.5625,543360.6437
249,강남구,206118.5625,543360.6437
250,강남구,206118.5625,543360.6437
251,강남구,206090.4492,543335.1083
252,강남구,206090.4492,543335.1083
253,강남구,206090.4492,543335.1083
254,강남구,206090.4492,543335.1083
255,강남구,205162.9468,542854.8769
256,강남구,205147.4132,542787.6885
257,강남구,205833.575,546223.0187
258,강남구,204334.5301,544487.1836
259,강남구,204335.6551,544509.5586
260,강남구,204835.3799,545700.9289
261,강남구,204835.3799,545700.9289
262,강남구,205501.5644,543099.8335
263,강남구,205501.5644,543099.8335
264,강남구,204480.4648,544569.6575
265,강남구,204482.0677,544548.8242
266,강남구,204517.825,544546.6187
267,강남구,203593.0625,546638.1312
268,강남구,203593.0625,546638.1312
269,강남구,202835.501,546811.9198
270,강남구,202835.501,546811.9198
271,강남구,202835.501,546811.9198
272,강남구,202812.5137,546843.5549
273,강남구,202812.5137,546843.5549
274,강남구,203169.5375,546944.6937
275,강남구,203169.5375,546944.6937
276,강남구,203169.5375,546944.6937
277,강남구,203169.5375,546944.6937
278,강남구,204655.3365,547246.2834
279,강남구,204655.3365,547246.2834
280,강남구,204655.3365,547246.2834
281,강남구,204655.3365,547246.2834
282,강남구,204655.3365,547246.2834
283,강남구,204655.3365,547246.2834
284,강남구,204325.8565,546894.7861
285,강남구,204325.8565,546894.7861
286,강남구,204325.8565,546894.7861
287,강남구,204325.8565,546894.7861
288,강남구,203145.8426,546976.0928
289,강남구,203145.8426,546976.0928
290,강남구,203145.8426,546976.0928
291,강남구,202506.8607,546912.2258
292,강남구,202506.8607,546912.2258
293,강남구,204414.791,544818.5091
294,강남구,204414.791,544818.5091
295,강남구,204414.791,544818.5091
296,강남구,204393.391,544818.6091
297,강남구,204393.391,544818.6091
298,강남구,204393.391,544818.6091
299,강남구,204393.391,544818.6091
300,강남구,204393.391,544818.6091
301,강남구,205404.7879,544947.4596
302,강남구,205404.7879,544947.4596
303,강남구,205404.7879,544947.4596
304,강남구,205404.7879,544947.4596
305,강남구,205404.1784,544929.8711
306,강남구,205404.1784,544929.8711
307,강남구,205404.1784,544929.8711
308,강남구,205404.1784,544929.8711
309,강남구,205485.0107,544979.4826
310,강남구,205485.0107,544979.4826
311,강남구,205485.0107,544979.4826
312,강남구,203547.7396,546790.1669
313,강남구,203547.7396,546790.1669
314,강남구,203575.125,546632.5062
315,강남구,203575.125,546632.5062
316,강남구,204306.866,546879.9799
317,강남구,204306.866,546879.9799
318,강남구,202813.7191,543802.1458
319,강남구,202813.7191,543802.1458
320,강남구,202813.7191,543802.1458
321,강남구,205060.9625,545791.125
322,강남구,205060.9625,545791.125
323,강남구,207052.3125,542596.6562
324,강남구,207052.3125,542596.6562
325,강남구,207052.3125,542596.6562
326,강남구,207052.3125,542596.6562
327,강남구,207052.3125,542596.6562
328,강남구,207052.3125,542596.6562
329,강남구,207052.3125,542596.6562
330,강남구,207052.3125,542596.6562
331,강남구,207055.75,542574.0937
332,강남구,207055.75,542574.0937
333,강남구,207082.4946,542579.3462
334,강남구,207082.4946,542579.3462
335,강남구,202323.6991,546586.4336
336,강남구,202323.6991,546586.4336
337,강남구,202323.6991,546586.4336
338,강남구,202323.6991,546586.4336
339,강남구,202295.0315,546613.069
340,강남구,202295.0315,546613.069
341,강남구,202295.0315,546613.069
342,강남구,202295.0315,546613.069
343,강남구,201862.6034,547122.0683
344,강남구,201862.6034,547122.0683
345,강남구,201862.6034,547122.0683
346,강남구,201862.6034,547122.0683
347,강남구,203040.4994,545165.1974
348,강남구,203040.4994,545165.1974
349,강남구,204637.1603,546652.6311
350,강남구,204637.1603,546652.6311
351,강남구,204637.1603,546652.6311
352,강남구,204637.1603,546652.6311
353,강남구,204637.1603,546652.6311
354,강남구,204637.1603,546652.6311
355,강남구,205176.3192,546772.4751
356,강남구,205176.3192,546772.4751
357,강남구,202693.3686,546755.0645
358,강남구,202693.3686,546755.0645
359,강남구,202693.3686,546755.0645
360,강남구,202671.3843,546786.5348
361,강남구,204417.2698,546612.64
362,강남구,204417.2698,546612.64
363,강남구,204464.5188,546584.0696
364,강남구,204464.5188,546584.0696
365,강남구,204205.8,547215.5187
366,강남구,204205.8,547215.5187
367,강남구,204205.8,547215.5187
368,강남구,204205.8,547215.5187
369,강남구,204205.8,547215.5187
370,강남구,204205.8,547215.5187
371,강남구,204205.8,547215.5187
372,강남구,204205.8,547215.5187
373,강남구,204224.125,547178.7437
374,강남구,204224.125,547178.7437
375,강남구,204224.125,547178.7437
376,강남구,204224.125,547178.7437
377,강남구,204224.125,547178.7437
378,강남구,204224.125,547178.7437
379,강남구,204224.125,547178.7437
380,강남구,204224.125,547178.7437
381,강남구,204212.1625,547165.1437
382,강남구,204212.1625,547165.1437
383,강남구,204187.4378,547162.0458
384,강남구,204187.4378,547162.0458
385,강남구,204187.4378,547162.0458
386,강남구,204187.4378,547162.0458
387,강남구,204167.4967,547170.3223
388,강남구,204167.4967,547170.3223
389,강남구,204160.2606,547215.7309
390,강남구,204160.2606,547215.7309
391,강남구,204160.2606,547215.7309
392,강남구,204160.2606,547215.7309
393,강남구,204160.2606,547215.7309
394,강남구,204160.2606,547215.7309
395,강남구,204160.2606,547215.7309
396,강남구,204160.2606,547215.7309
397,강남구,203684.8125,547095.5062
398,강남구,203684.8125,547095.5062
399,강남구,204295.6104,543944.7563
400,강남구,204295.6104,543944.7563
401,강남구,205184.9161,544822.9264
402,강남구,205184.9161,544822.9264
403,강남구,205497.9364,544967.7539
404,강남구,205497.9364,544967.7539
405,강남구,207258.0169,543234.2948
406,강남구,205159.5628,544847.254
407,강남구,205159.5628,544847.254
408,강남구,205159.5628,544847.254
409,강남구,205159.5628,544847.254
410,강남구,205166.4967,544832.4457
411,강남구,205166.4967,544832.4457
412,강남구,205166.4967,544832.4457
413,강남구,205166.4967,544832.4457
414,강남구,205165.2939,544869.3284
415,강남구,205165.2939,544869.3284
416,강남구,205187.1526,544879.1573
417,강남구,205187.1526,544879.1573
418,강남구,205209.4288,544867.5228
419,강남구,205209.4288,544867.5228
420,강남구,205218.4961,544853.8795
421,강남구,205218.4961,544853.8795
422,강남구,203717.6305,544205.5164
423,강남구,203717.6305,544205.5164
424,강남구,203993.3018,546481.8059
425,강남구,203993.3018,546481.8059
426,강남구,203993.3018,546481.8059
427,강남구,203993.3018,546481.8059
428,강남구,203995.5156,546507.625
429,강남구,203995.5156,546507.625
430,강남구,203995.5156,546507.625
431,강남구,203995.5156,546507.625
432,강남구,203995.5156,546507.625
433,강남구,203995.5156,546507.625
434,강남구,204353.716,545016.2319
435,강남구,202334.7,544618.0562
436,강남구,202334.7,544618.0562
437,강남구,202334.7,544618.0562
438,강남구,202334.7,544618.0562
439,강남구,202334.7,544618.0562
440,강남구,202334.7,544618.0562
441,강남구,202334.7,544618.0562
442,강남구,202334.7,544618.0562
443,강남구,205863.8625,543278.3812
444,강남구,207788.4994,543550.5631
445,강남구,207788.4994,543550.5631
446,강남구,203162.05,544909.2062
447,강남구,203162.05,544909.2062
448,강남구,203162.05,544909.2062
449,강남구,203802.6565,545872.7964
450,강남구,203802.6565,545872.7964
451,강남구,205874.2288,543313.7431
452,강남구,206431.0969,544194.3659
453,강남구,206431.0969,544194.3659
454,강남구,201810.3655,545964.3444
455,강남구,201810.3655,545964.3444
456,강남구,201810.3655,545964.3444
457,강남구,201810.3655,545964.3444
458,강남구,201810.3655,545964.3444
459,강남구,201810.3655,545964.3444
460,강남구,201810.3655,545964.3444
461,강남구,201810.3655,545964.3444
462,강남구,204293.9063,544992.596
463,강남구,204292.925,545015.8312
464,강남구,204292.925,545015.8312
465,강남구,204292.925,545015.8312
466,강남구,204292.925,545015.8312
467,강남구,204330.1572,545041.8974
468,강남구,204330.1572,545041.8974
469,강남구,204330.1572,545041.8974
470,강남구,202725.45,546078.2812
471,강남구,203399.3121,545447.5839
472,강남구,203399.3121,545447.5839
473,강남구,203404.025,545496.4562
474,강남구,203404.025,545496.4562
475,강남구,202562.4224,543977.0438
476,강남구,202562.4224,543977.0438
477,강남구,202562.4224,543977.0438
478,강남구,202562.4224,543977.0438
479,강남구,202562.4224,543977.0438
480,강남구,202562.4224,543977.0438
481,강남구,202562.4224,543977.0438
482,강남구,202562.4224,543977.0438
483,강남구,202562.4224,543977.0438
484,강남구,202562.4224,543977.0438
485,강남구,202562.4224,543977.0438
486,강남구,202562.4224,543977.0438
487,강남구,202562.4224,543977.0438
488,강남구,202562.4224,543977.0438
489,강남구,202562.4224,543977.0438
490,강남구,202562.4224,543977.0438
491,강남구,202562.4224,543977.0438
492,강남구,202562.4224,543977.0438
493,강남구,202562.4224,543977.0438
494,강남구,202562.4224,543977.0438
495,강남구,202562.4224,543977.0438
496,강남구,202562.4224,543977.0438
497,강남구,202562.4224,543977.0438
498,강남구,202562.4224,543977.0438
499,강남구,202562.4224,543977.0438
500,강남구,202562.4224,543977.0438
501,강남구,202562.4224,543977.0438
502,강남구,202562.4224,543977.0438
503,강남구,202562.4224,543977.0438
504,강남구,202562.4224,543977.0438
505,강남구,202562.4224,543977.0438
506,강남구,202562.4224,543977.0438
507,강남구,204674.3692,545120.2136
508,강남구,204674.3692,545120.2136
509,강남구,202952.8125,547575.3312
510,강남구,202952.8125,547575.3312
511,강남구,204675.225,544069.9687
512,강남구,204675.225,544069.9687
513,강남구,204668.4556,544074.1465
514,강남구,203637.2375,543686.1687
515,강남구,202561.3501,544025.1612
516,강남구,202561.3501,544025.1612
517,강남구,202561.3501,544025.1612
518,강남구,202561.3501,544025.1612
519,강남구,202561.3501,544025.1612
520,강남구,202561.3501,544025.1612
521,강남구,202561.3501,544025.1612
522,강남구,202561.3501,544025.1612
523,강남구,202561.3501,544025.1612
524,강남구,202561.3501,544025.1612
525,강남구,202561.3501,544025.1612
526,강남구,202561.3501,544025.1612
527,강남구,202561.3501,544025.1612
528,강남구,202561.3501,544025.1612
529,강남구,202561.3501,544025.1612
530,강남구,202561.3501,544025.1612
531,강남구,202561.3501,544025.1612
532,강남구,202561.3501,544025.1612
533,강남구,207078.8,542575.5312
534,강남구,207078.8,542575.5312
535,강남구,205679.6378,546176.4487
536,강남구,205679.6378,546176.4487
537,강남구,204871.172,543501.1082
538,강남구,204871.172,543501.1082
539,강남구,204118.9125,542820.0312
540,강남구,204118.9125,542820.0312
541,강남구,206086.8151,543351.1982
542,강남구,206086.8151,543351.1982
543,강남구,206086.8151,543351.1982
544,강남구,206086.8151,543351.1982
545,강남구,202315.6142,544626.0572
546,강남구,202315.6142,544626.0572
547,강남구,202315.6142,544626.0572
548,강남구,202315.6142,544626.0572
549,강남구,202315.6142,544626.0572
550,강남구,202315.6142,544626.0572
551,강남구,202315.6142,544626.0572
552,강남구,202315.6142,544626.0572
553,강남구,204599.9625,542942.8062
554,강남구,204677.5084,543189.1713
555,강남구,204677.5084,543189.1713
556,강남구,204690.7268,543196.6381
557,강남구,204690.7268,543196.6381
558,강남구,208654.7903,542940.1148
559,강남구,208654.7903,542940.1148
560,강남구,208646.8904,542929.0579
561,강남구,208646.8904,542929.0579
562,강남구,208646.8904,542929.0579
563,강남구,208646.8904,542929.0579
564,강남구,203637.2199,543641.5553
565,강남구,203235.6625,544605.6062
566,강남구,205844.2402,546216.5656
567,강남구,204413.7967,543241.2526
568,강남구,204413.7967,543241.2526
569,강남구,207635.1532,542936.9297
570,강남구,207635.1532,542936.9297
571,강남구,204916.5375,543486.3687
572,강남구,203667.8934,542932.3592
573,강남구,203667.8934,542932.3592
574,강남구,203685.521,542892.6779
575,강남구,203685.521,542892.6779
576,강남구,208976.1,543142.9687
577,강남구,208976.1,543142.9687
578,강남구,208941.0625,543131.8312
579,강남구,208941.0625,543131.8312
580,강남구,204876.2524,543467.5459
581,강남구,203865.1067,546445.3268
582,강남구,202084.5156,545228.6563
583,강남구,202084.5156,545228.6563
584,강남구,202084.5156,545228.6563
585,강남구,202084.5156,545228.6563
586,강남구,202084.5156,545228.6563
587,강남구,202084.5156,545228.6563
588,강남구,202084.5156,545228.6563
589,강남구,202084.5156,545228.6563
590,강남구,207880.4,542747.4812
591,강남구,207893.3375,542726.2312
592,강남구,207893.3375,542726.2312
593,강남구,204686.7547,543396.0913
594,강남구,204686.7547,543396.0913
595,강남구,204686.7547,543396.0913
596,강남구,204686.7547,543396.0913
597,강남구,207620.0621,544031.8219
598,강남구,208587.8445,540858.6327
599,강남구,208591.4695,540845.2577
600,강남구,204939.2309,547548.2871
601,강남구,204934.75,547555.9937
602,강남구,204911.4603,547560.5312
603,강남구,202756.1609,544417.6886
604,강남구,202756.1609,544417.6886
605,강남구,202756.1609,544417.6886
606,강남구,202756.1609,544417.6886
607,강남구,202756.1609,544417.6886
608,강남구,202756.1609,544417.6886
609,강남구,202756.1609,544417.6886
610,강남구,202756.1609,544417.6886
611,강남구,202769.383,544385.5735
612,강남구,202769.383,544385.5735
